,Classifier,Data set,Accuracy,Explainer,Stability,Attribution Discrepancy,Top-10 Presence,Top-10 Similarity,Time
0,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=False,8268.730514041592,8113.297406598389,9,52.0,8.525084138510284
1,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=True,7131.697327008799,7263.963177262626,8,32.86666666666667,161.39901671518456
2,Logistic Regression,RTG,0.76,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4999.376070085366,7160.11702690621,8,34.0,9.291935961745912
3,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=False,2490.031295828203,4627.243368372408,7,26.2,6.89908824065933
4,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=True,4110.041530079501,5718.958522676987,8,27.333333333333336,140.98247070353244
5,Logistic Regression,RTG,0.76,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1556.0641949331089,5483.8082336950365,6,30.0,8.214750023151282
6,Logistic Regression,RTG,0.76,['fires'][1.0]Ensemble=False,169.56748965708846,7625.890182802499,7,31.0,0.9426358572149184
7,Logistic Regression,RTG,0.76,['custom'][1.0]Ensemble=False,121.2944277112025,3509.653836004136,8,34.5,0.815553610707866
8,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=False,8400.350018542198,7727.881375916404,10,16.200000000000003,10.783439500443638
9,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=True,6999.861610146166,6817.198610740499,7,12.135714285714286,197.72159686736413
10,Logistic Regression,RBF,1.0,"['fires', 'shap'][0.5, 0.5]Ensemble=False",5414.150296673639,6718.3857288065,6,17.25,10.35265088447486
11,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=False,1463.9945016322215,3590.5296880565606,6,10.133333333333333,6.992271481099306
12,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=True,2130.5553659773805,3464.963326207929,5,9.5,139.76525026694873
13,Logistic Regression,RBF,1.0,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1081.3277071360985,4869.299183795248,6,10.142857142857142,8.730566931673092
14,Logistic Regression,RBF,1.0,['fires'][1.0]Ensemble=False,144.6709267411327,6319.5474585909315,6,16.25,0.963497143163113
15,Logistic Regression,RBF,1.0,['custom'][1.0]Ensemble=False,34.444163330509596,1830.006520153262,6,10.11904761904762,0.9382538603735157
16,Logistic Regression,Spambase,0.88,['shap'][1.0]Ensemble=False,7168.424679776214,8148.041228464055,7,14.059523809523808,3.412619734473992
17,Logistic Regression,Spambase,0.88,['shap'][1.0]Ensemble=True,3278.9779115183273,6726.965587600218,3,8.0,72.93092925130622
18,Logistic Regression,Spambase,0.88,"['fires', 'shap'][0.5, 0.5]Ensemble=False",4450.450336503326,7482.921580167282,5,13.25,4.664535589858941
19,Logistic Regression,Spambase,0.88,['lime'][1.0]Ensemble=False,2644.3143535977742,4006.6866807497495,6,18.366666666666667,6.07522100071785
20,Logistic Regression,Spambase,0.88,['lime'][1.0]Ensemble=True,2141.7881217055005,5253.195326519313,1,1.75,106.27824672172493
21,Logistic Regression,Spambase,0.88,"['fires', 'lime'][0.5, 0.5]Ensemble=False",1864.8758625037403,5109.326933587206,6,11.633333333333333,6.725065902528716
22,Logistic Regression,Spambase,0.88,['fires'][1.0]Ensemble=False,39.587693913459475,6565.19362744833,4,12.0,0.7895648791907459
23,Logistic Regression,Spambase,0.88,['custom'][1.0]Ensemble=False,29.14294117663753,2262.376391549923,7,23.0,0.5191867955792178
24,Logistic Regression,Credit default,0.6933333333333334,['shap'][1.0]Ensemble=False,6546.007476206717,8161.520553608017,8,31.27777777777778,1.6486734437174164
25,Logistic Regression,Credit default,0.6933333333333334,['shap'][1.0]Ensemble=True,7190.415601113697,8028.108715901104,8,10.483333333333334,32.30109799105558
